Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,RTG,RTG_exp,RTG_diff,PTS_exp,TRB_exp,AST_exp
28,DAL,Maurice Ager,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,-0.089,2.9,9.773,-6.873,5.891,2.359,1.523
30,BOS,J.R. Giddens,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,3.6,10.477,-6.877,6.064,3.164,1.25
10,ATL,Adam Keefe,0.502,0.071,0.714,16.7,5,4.1,0.7,24.9,0.116,9.8,16.679,-6.879,10.442,4.133,2.104
19,UTA,Ryan Humphrey,0.344,0,0.539,9.1,2.3,2.2,0.2,-0.4,-0.027,4.7,11.6,-6.9,7.196,3.158,1.246
26,MIN,Ndudi Ebi,0.486,0,0.462,4.5,2.1,1,0.2,0.1,0.051,3.3,10.208,-6.908,6.146,2.842,1.221
11,ATL,Acie Law,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,6.5,13.465,-6.965,8.122,3.613,1.73
18,MIL,Kevin Brooks,0.401,0.2,0.859,8.2,3.3,1.1,0.4,-0.1,-0.004,4.8,11.804,-7.004,7.175,3.387,1.242
55,DAL,Darius Johnson-Odom,0,0,0,3,0,0.9,0.3,-0.3,-0.597,1.2,8.209,-7.009,4.845,2.373,0.991
8,LAC,Bo Kimble,0.386,0.291,0.728,12.7,5.5,1.5,0.9,0.1,0.004,7.9,14.983,-7.083,9.317,3.829,1.838
48,PHO,Taylor Griffin,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039,1.7,8.8,-7.1,4.912,2.988,0.9
43,MIL,Ricky Ledo,0.353,0.375,1,3,1.7,0.2,0.2,0,0.024,2.1,9.238,-7.138,5.857,2.381,1
46,PHO,Gani Lawal,,,,2,0,0,0,0,-0.009,0,7.169,-7.169,4.512,1.931,0.725
26,ORL,Geert Hammink,0.4,,0.667,3.4,1.8,0.9,0.3,0.1,0.089,3,10.208,-7.208,6.146,2.842,1.221
55,GSW,Michael McDonald,,,,4,0,1,0,-0.1,-0.638,1,8.209,-7.209,4.845,2.373,0.991
25,MIA,Tim James,0.329,0.333,0.652,6.1,1.6,1.1,0.3,0,-0.003,3,10.217,-7.217,6.165,2.896,1.157
27,PHO,Malcolm Mackey,0.378,0,0.5,3.1,1.5,1.1,0,0.1,0.036,2.6,9.883,-7.283,5.729,2.921,1.233
6,ATL,DerMarr Johnson,0.411,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052,9.3,16.625,-7.325,10.279,4.417,1.929
2,VAN,Stromile Swift,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,13.5,20.838,-7.338,12.367,5.779,2.692
9,DAL,Samaki Walker,0.462,0.111,0.63,17.1,5.3,4.7,0.6,14.2,0.089,10.6,17.971,-7.371,10.925,4.988,2.058
10,MIL,Jimmer Fredette,0.415,0.397,0.859,14.6,6.7,1.1,1.5,2.1,0.038,9.3,16.679,-7.379,10.442,4.133,2.104
20,MIN,Paul Grant,0.448,,0.375,6.9,1.8,1.1,0.2,-0.1,-0.043,3.1,10.483,-7.383,6.317,2.729,1.438
21,POR,Nolan Smith,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,5.5,12.896,-7.396,7.538,3.346,2.013
6,DAL,Robert Traylor,0.474,0.167,0.577,14.3,4.8,3.7,0.7,13.3,0.102,9.2,16.625,-7.425,10.279,4.417,1.929
9,HOU,Joel Przybilla,0.552,0,0.557,19.8,3.9,6.2,0.4,23,0.094,10.5,17.971,-7.471,10.925,4.988,2.058
28,GSW,Les Jepsen,0.333,0,0.65,3.7,1,1.3,0,0.1,0.031,2.3,9.773,-7.473,5.891,2.359,1.523
15,MIA,Dave Jamerson,0.392,0.277,0.86,6.6,3.4,0.9,0.7,0.2,0.018,5,12.496,-7.496,7.474,3.539,1.483
9,DET,Rodney White,0.424,0.314,0.749,15.4,7.1,2.2,1.1,1.8,0.026,10.4,17.971,-7.571,10.925,4.988,2.058
